id,nome,preco,unidade,categoria,emEstoque,naCestaGrande,naCestaPequena,descricao,imagemUrl
cesta-grande,Cesta Grande,75.0,cesta (~10-12 itens),Cestas,TRUE,FALSE,FALSE,Cesta semanal com 10 a 12 itens selecionados pela COMUNA.,
cesta-pequena,Cesta Pequena,55.0,cesta (~9-10 itens),Cestas,TRUE,FALSE,FALSE,Cesta semanal com 9 a 10 itens selecionados pela COMUNA.,
abacate,Abacate,8.0,1 unidade,Frutas,FALSE,FALSE,FALSE,Abacate orgânico fresco.,
abacaxi-pequeno,Abacaxi Pequeno,15.0,1 unidade,Frutas,FALSE,FALSE,FALSE,,
abacaxi-medio,Abacaxi Médio,15.0,1 unidade,Frutas,FALSE,FALSE,FALSE,,
abio,Abio,10.0,500g,Frutas,FALSE,FALSE,FALSE,"Fruta tropical adocicada, rica em vitaminas.",
acerola,Acerola,5.0,250g,Frutas,FALSE,FALSE,FALSE,Rica em vitamina C. Ideal para sucos e vitaminas.,
ameixa-amarela,Ameixa Amarela,15.0,500g,Frutas,FALSE,FALSE,FALSE,,
ameixa-vermelha,Ameixa Vermelha,15.0,500g,Frutas,FALSE,FALSE,FALSE,,
amora,Amora,6.0,250g,Frutas,FALSE,FALSE,FALSE,Amora fresca orgânica.,
atemoia,Atemoia,10.0,1 unidade,Frutas,FALSE,FALSE,FALSE,Fruta tropical com polpa cremosa e doce.,
bacupari,Bacupari,7.0,250g,Frutas,FALSE,FALSE,FALSE,,
banana-da-terra,Banana da Terra,18.0,1kg,Frutas,FALSE,FALSE,FALSE,,
banana-de-fritar,Banana de Fritar,8.0,1kg,Frutas,FALSE,FALSE,FALSE,,
banana-maca,Banana Maçã,10.0,1kg,Frutas,FALSE,FALSE,FALSE,,
banana-nanica,Banana Nanica,12.0,1kg,Frutas,FALSE,FALSE,FALSE,,
banana-ouro,Banana Ouro,12.0,1kg,Frutas,FALSE,FALSE,FALSE,,
banana-prata,Banana Prata,9.0,1kg,Frutas,FALSE,FALSE,FALSE,,
cabeludinha,Cabeludinha,6.0,250g,Frutas,FALSE,FALSE,FALSE,"Fruta da Mata Atlântica, adocicada e aromática.",
cacau-fruta,Cacau Fruta,10.0,500g,Frutas,FALSE,FALSE,FALSE,Cacau fresco in natura.,
caju,Caju,5.0,100g,Frutas,FALSE,FALSE,FALSE,,
caqui,Caqui,10.0,500g,Frutas,FALSE,FALSE,FALSE,,
carambola,Carambola,10.0,500g,Frutas,FALSE,FALSE,FALSE,,
